3962	14	3927	1926-##-##	1929-##-##
2716	17	8276	2008-##-##	2008-##-##
950	1	148	1790-##-##	1968-##-##
1875	17	7569	2002-##-##	2002-##-##
250	1	241	1968-##-##	####-##-##
5232	15	4971	2016-##-##	####-##-##
1951	5	1952	1991-##-##	####-##-##
3603	14	3604	1997-##-##	1998-##-##
8812	17	8813	1804-##-##	####-##-##
4301	17	6048	1993-##-##	1993-##-##
2980	10	2983	1997-##-##	2000-##-##
8081	20	8084	2012-##-##	2012-##-##
6884	17	6194	1838-##-##	1838-##-##
509	1	442	1713-##-##	1783-##-##
8847	17	8848	2003-##-##	2003-##-##
9380	20	6780	1934-##-##	1934-##-##
4915	14	4917	1897-##-##	1912-##-##
5074	15	4973	####-##-##	2015-##-##
5989	17	5990	1996-##-##	1996-##-##
5740	16	5750	2005-##-##	2005-##-##
4195	14	4196	2014-##-##	####-##-##
883	1	884	1991-##-##	####-##-##
973	1	453	1992-##-##	####-##-##
2875	9	2505	1958-##-##	####-##-##
3225	23	2938	####-##-##	1915-##-##
11265	22	9708	2007-##-##	2007-##-##
3230	12	117	####-##-##	1800-##-##
4068	14	3496	1903-##-##	1913-##-##
5411	16	5516	1983-##-##	1983-##-##
1695	2	1671	1974-##-##	####-##-##
5352	15	4973	####-##-##	2016-##-##
3145	11	3146	2004-##-##	2005-##-##
4576	14	3972	1980-##-##	1990-##-##
8216	17	8220	1987-##-##	1987-##-##
3936	14	3937	1829-##-##	1833-##-##
2866	17	5878	2005-##-##	2005-##-##
3033	14	3883	1988-##-##	1990-##-##
1762	2	1672	2007-##-##	####-##-##
663	18	671	2015-##-##	####-##-##
818	1	304	2015-##-##	####-##-##
8999	17	8853	1993-##-##	1993-##-##
2389	8	2341	1957-##-##	1959-##-##
7384	17	7386	2002-##-##	2002-##-##
5574	17	6185	2011-##-##	2011-##-##
1798	3	1801	1962-##-##	####-##-##
4269	14	4270	1831-##-##	####-##-##
9110	17	6501	2002-##-##	2002-##-##
9144	18	9139	####-##-##	2016-##-##
9373	20	6328	2014-##-##	2014-##-##
830	1	148	1790-##-##	1968-##-##
3011	10	3013	1919-##-##	1920-##-##
6334	17	6337	1982-##-##	1982-##-##
605	1	245	1898-##-##	1950-##-##
2452	8	2453	2005-##-##	2006-##-##
5572	16	5579	2006-##-##	2006-##-##
2290	8	2291	2011-##-##	####-##-##
3347	13	3247	1966-##-##	####-##-##
7102	17	7106	2005-##-##	2005-##-##
4393	14	3496	1931-##-##	1933-##-##
2143	6	2045	1526-##-##	1804-##-##
1430	1	193	1998-##-##	####-##-##
3103	14	4208	1998-##-##	2005-##-##
8740	17	8742	1993-##-##	1993-##-##
1603	1	1596	####-##-##	2014-##-##
7291	17	5818	2009-##-##	2009-##-##
5242	15	4971	2017-##-##	####-##-##
779	1	278	2015-##-##	####-##-##
3177	14	4249	1979-##-##	1994-##-##
850	1	679	####-##-##	2014-##-##
1930	5	911	1961-##-##	####-##-##
3132	14	3871	1998-##-##	2003-##-##
5553	16	5568	2010-##-##	2010-##-##
4765	14	4769	1906-##-##	1907-##-##
7974	17	7678	2006-##-##	2006-##-##
7003	17	7071	2008-##-##	2008-##-##
546	1	539	2009-##-##	####-##-##
1443	1	336	2015-##-##	####-##-##
6756	17	6757	2012-##-##	2012-##-##
2784	9	2520	1993-##-##	####-##-##
5446	16	5451	2012-##-##	2012-##-##
2773	14	3641	1884-##-##	1888-##-##
7989	17	6198	1981-##-##	1981-##-##
5504	17	6380	2006-##-##	2006-##-##
3611	14	4124	1927-##-##	1932-##-##
5411	16	5521	2013-##-##	2013-##-##
8942	17	6642	2004-##-##	2004-##-##
8048	17	8049	2008-##-##	2008-##-##
2097	6	30	1721-##-##	1917-##-##
676	1	123	1871-##-##	####-##-##
4293	14	4294	2013-##-##	####-##-##
1569	1	559	1952-##-##	1994-##-##
4268	14	3481	2009-##-##	####-##-##
4061	14	3444	1965-##-##	1977-##-##
5753	16	5754	2017-##-##	2017-##-##
7772	17	8381	2004-##-##	2004-##-##
3946	14	3495	1999-##-##	####-##-##
